cells,ACTB,FSTL1,JAG1,HEY2,MYCL1,PCNA,ASCL1,CHGA,GAPDH,HSP90AB1,MYCN,RBPJ,CALCA,CHGB,GSTO1,NOTCH1,NCAM1,REST,CCNB1,DLL1,KRT19,JAG2,RPLP0,SPARC,CCND1,IGFBP7,MMP14,NRARP,NOTCH2,SOX2,CD44,DLL4,HES1,QPCT,NOTCH3,SYP,CXCL10,EPCAM,HES5,MDK,NOTCH4,UCHL1,DLL3,emeraldGFP,HEY1,MYC,SLPI,VIM
high-1,17.29721851,18.3759787,21.38146742,999,999,17.42650313,15.93401848,20.004236,13.99639344,15.25127225,16.71025697,17.26481006,12.77131114,20.10050656,20.46635955,27.28825943,19.31259314,19.53444158,17.80512672,23.59962503,17.53626027,999,16.18742455,19.20846397,999,16.37011697,999,999,999,22.13945464,20.92050335,999,20.48300379,17.39311681,20.02363853,20.39762682,19.18653868,18.60158666,25.25670351,19.0295838,999,20.27633167,23.57110601,18.62199797,20.08260204,21.09239934,28.04578126,999
high-10,19.93002935,17.71444675,999,26.98164983,21.94871781,20.11487269,16.64084499,999,13.54760903,15.76489742,17.08428493,17.25099868,20.19230193,20.84248638,999,20.17384682,21.72108002,999,15.93543837,21.8373092,18.84752484,28.65249533,16.19900488,18.93318636,20.61109512,16.26603327,17.5850214,18.69500891,20.44553894,21.10891297,18.52077493,21.0790763,20.9151089,16.25946664,20.83077096,22.45434603,18.5875557,18.71038195,22.88427853,16.55391384,999,999,27.03785396,18.04832215,20.66683651,999,22.082947,999
high-11,22.22708161,999,23.55559293,999,999,21.1067818,17.39843339,999,19.03858002,18.38398727,16.44966914,999,999,999,999,24.48116723,999,999,20.02367752,23.19099661,999,999,17.13028938,21.00598177,20.8835885,15.65741479,20.98425844,999,23.3094331,22.11211173,19.4165328,999,999,16.70063768,20.64446487,20.47243187,999,20.91620034,999,999,999,999,999,999,999,999,27.86404893,21.05565379
high-12,20.08893115,18.23597396,25.78473012,24.10995339,23.26231898,18.7255056,17.84897755,999,14.13271249,16.37091463,16.48614216,18.81690437,999,20.45349419,999,19.60445299,20.21725545,999,17.62474612,20.46294953,16.98071741,28.80073062,17.03863327,21.61816302,20.48208306,17.05685427,17.54107372,20.22410716,999,22.32848294,20.83498232,999,21.75498823,16.7966711,999,21.01467449,999,22.76765871,999,18.43273042,999,999,999,17.62935868,20.41097216,999,22.0896432,999
high-13,19.74389092,18.12782112,999,22.34782794,999,19.90713616,18.4707353,999,15.07456389,17.98917481,17.73936639,17.33583486,24.03176802,27.23128448,999,22.91616688,21.79583823,20.37657238,17.61645371,22.3129019,17.7805581,999,16.66652195,18.64695843,20.49082854,17.34769383,19.66975684,999,999,20.67033323,18.99066434,999,999,16.7838743,19.02447524,27.628849,24.54973838,20.7465323,23.57360134,19.86724767,999,999,999,16.88461423,999,999,24.45960697,20.31249186
high-14,18.40650869,999,21.56441468,25.04484356,25.2346463,17.06138809,14.78267603,17.41261988,13.71951655,16.05656606,16.598928,22.35828908,13.5883687,17.47856301,999,21.1113244,20.32367604,999,16.88370681,19.73031713,999,27.81238769,15.9660655,18.86316827,999,18.28472577,21.34502753,20.94725011,22.34197521,20.42623389,20.82328017,999,20.94768016,16.63903714,999,19.50675444,27.1854222,18.11033244,24.14246279,20.17728138,22.90853595,17.37153475,20.57014092,18.06162066,20.378443,999,22.65547688,26.53825108
high-15,18.7429024,21.63479936,999,28.03531392,25.85058956,21.0644155,17.68176425,999,16.94537511,16.38294522,17.43668545,20.69779854,999,23.08973387,999,21.38251585,999,19.87887106,19.74980328,22.36779854,16.04851352,999,16.2382045,19.84368053,23.44089919,16.7930668,19.88300721,999,20.42773337,20.42319723,18.35592713,999,16.78260998,16.38090615,999,21.437287,999,22.37021572,999,18.51250287,999,999,20.51900163,17.59039275,17.15354378,999,25.5722671,999
high-16,15.65077397,18.45337764,18.89349703,21.47631505,20.4627943,14.48883414,17.90672378,999,13.99045388,13.82369658,15.78957735,17.16060525,999,999,999,17.56542063,999,16.25014521,18.29744175,19.78401737,13.73026889,999,14.07817133,17.48465697,999,15.80383862,17.77982725,17.47489566,17.15654946,19.12378815,16.70561788,20.10477014,17.90227351,14.32397548,17.28316472,20.21118258,17.24253584,16.54620792,19.86686965,17.76155221,999,999,999,15.23619988,18.38459258,999,23.63419082,20.57479731
high-17,20.71016031,18.82529727,27.42740288,25.83929788,999,18.75675137,16.91403719,999,12.83495274,15.43150013,16.33272217,18.584687,20.094093,18.51337529,999,20.64764156,19.84563059,999,16.12934124,24.34791065,20.3701129,999,16.00720335,19.13240687,999,18.92966953,18.63502667,19.93902743,999,21.4988856,20.13538953,999,999,16.61548552,999,20.91191518,19.59144058,21.55225464,22.45800104,16.95085839,25.62023322,999,999,18.20013905,18.193464,999,23.84325458,999
high-18,19.53530824,21.89992958,20.91316121,999,23.29297501,21.13541989,18.45896447,999,13.83387508,18.35097476,16.72171431,19.96380018,19.13489504,19.65173423,23.67575373,20.86469842,999,20.25275858,15.75606112,21.7206423,16.26129815,999,16.27013643,19.32648035,20.55514584,19.72326186,17.62933078,17.63836407,23.65521683,20.50997146,999,999,20.95321431,16.84882419,18.31832616,21.51234904,19.74329744,19.01396517,999,18.52403169,999,999,999,17.52507544,999,999,22.8789515,24.88059852
high-19,22.82550835,20.4205591,999,23.72000011,999,27.43509486,17.92584449,999,14.22605244,16.7153963,16.88113911,17.33834951,19.89503846,20.30354582,27.87296456,23.84806682,20.42385355,999,16.81075016,21.63300501,20.66149241,999,16.5085014,19.34213869,27.53287408,17.60157909,24.98888499,19.3057604,999,21.10042473,19.21136575,999,23.55652045,16.37912089,999,20.84400609,19.51608994,20.01299924,23.08929075,17.49571353,999,999,999,17.65967168,23.2488812,25.10189391,21.91737931,999
high-2,17.23049626,19.11023905,21.35082572,21.27601744,22.5635772,19.26904065,17.83765599,999,17.17150021,16.05343471,16.94778023,18.42763168,999,999,999,19.23056495,999,18.89030808,21.58351272,20.72104033,15.57563394,999,15.66861735,19.57533475,999,19.2563208,999,21.54088054,19.15329322,20.05324695,21.6210154,999,20.98706948,17.17769899,19.74746144,999,999,20.06498151,999,999,999,999,999,17.6207825,999,999,23.93348072,26.53415904
high-20,17.1466592,19.63283604,25.92517934,999,24.26440951,18.06565361,18.25082017,999,15.85187208,15.14910172,16.15792078,17.95015481,19.89823003,22.73626254,999,18.14940869,21.39536588,17.80524676,18.65276901,23.00154779,14.4360433,999,15.74607569,20.02292605,18.37547146,19.57770173,21.35382163,18.64421406,22.53077309,20.86385359,18.43821055,999,18.17684942,16.29093769,22.43219798,20.7012421,21.54718534,17.07424639,24.87561221,18.00629242,999,999,999,17.56846796,17.12132295,999,24.85437121,999
high-21,19.19850269,17.26985392,999,27.73330281,999,22.08201588,17.23392741,999,13.54387985,17.34549487,16.70270433,18.36918509,19.68523097,20.04441824,27.89253177,20.32144751,19.76714639,999,16.43857746,23.17956041,18.76496182,999,17.73957165,18.54212493,19.58274708,15.93964779,18.5748626,19.67771532,999,21.08215511,20.6096676,999,20.7059026,16.25797151,23.45233185,20.21127513,18.72441308,22.69618225,25.65238196,17.96541309,999,999,999,17.18108189,21.61620535,999,999,22.77286646
high-22,16.90892005,19.04863805,23.07559778,999,22.00832433,18.40244737,17.28727182,999,15.59090655,13.40987635,16.25103723,18.23067757,999,25.91822235,999,19.14941624,999,16.58415443,18.75982462,20.78527668,15.29648263,22.02398456,14.74901299,18.82382781,999,16.62536387,18.52162287,20.60596669,18.15728416,21.81155197,15.83713617,999,17.46571787,16.39944409,18.48601151,999,15.10845318,17.73106369,999,17.74363012,999,999,999,14.86535425,999,21.01385391,23.53083464,20.60337383
high-23,24.25435324,17.45381018,999,28.70705045,22.15483873,20.95559001,16.91430601,999,12.57759704,17.23275506,17.26874936,17.87112115,20.01696893,18.872436,999,22.21781333,18.78475622,999,15.32981008,22.89320932,20.3529687,999,15.79168703,18.61590684,999,17.46356337,17.2077624,18.84286496,999,21.63169054,21.33044031,23.74822013,999,16.50357279,20.66882641,25.79464103,18.43837588,19.74527091,20.68351573,16.71602118,24.0481943,999,999,17.98326049,22.22463479,999,21.72635429,22.14070323
high-24,18.93038324,19.6027544,999,20.82562967,999,19.43173,17.42772092,999,13.02407552,16.15624662,16.86305606,17.39540848,20.47151956,19.76489209,999,20.90514738,19.06046185,999,15.82429676,22.85329198,17.42210269,25.33043091,15.77006612,19.04318693,20.14937516,17.86027127,17.70653571,999,22.55100565,20.52200551,18.60160068,999,19.22450279,16.74571107,24.97153167,20.90080621,16.28011909,20.79302334,23.73118103,17.55588432,999,999,25.3495847,18.15358331,999,999,22.1854685,26.94043931
high-25,22.07178916,18.5752528,27.22889825,24.33971185,999,18.87393183,17.02212826,999,12.92395325,16.38075558,16.63080891,17.57543833,999,19.98388312,24.29798492,999,20.26147931,999,16.08756133,21.05740202,18.09713008,999,15.70729627,18.72703087,999,17.52007131,19.5890653,18.99318979,20.29390735,21.90609283,17.77608259,23.5455836,999,16.8142291,19.6504463,20.04180531,18.91084278,20.29101779,21.08736662,17.50926672,999,999,999,16.13303159,19.00869142,999,23.7059122,999
high-26,22.6632096,17.70082126,24.19594225,999,999,999,18.10387544,999,12.32651005,18.90135201,16.2279637,16.68814201,999,18.17435618,999,21.241088,20.35255224,999,15.41058538,19.56039994,23.89665106,999,16.17769795,18.31503554,999,16.25321339,17.62776149,19.64157067,999,21.12037502,19.58154419,999,999,16.80708152,999,19.93755969,19.53094907,19.61025157,22.57541007,17.16750838,999,999,999,19.31651939,20.6842569,999,25.690703,999
high-27,18.69154981,19.89947214,20.76355591,21.89478018,23.14229311,18.42221403,16.99489645,999,13.94676524,15.66858519,16.15468191,17.84492814,21.26313732,20.32729158,999,19.59572906,999,19.16749293,16.51562334,24.43841909,16.09979449,999,15.44923471,18.97898987,18.37676454,18.30850553,18.24779855,19.03413317,999,20.33926283,18.51849003,999,20.75627409,16.55109973,20.23713,20.32490338,19.12131008,18.76510181,999,19.68240743,999,999,27.35688941,17.11075818,19.98911027,24.34199908,23.34049788,27.52392308
high-28,17.58914551,28.89484411,24.89443325,999,22.09811442,17.19885342,17.1641971,999,16.31486268,15.56613602,16.6987248,18.38152749,22.25573167,999,21.13381878,18.31119795,999,16.97134863,18.41145258,22.85538613,16.35488499,999,15.62483737,19.51909071,23.51966526,17.4999181,19.38082505,19.35787128,18.58023007,20.95821923,17.96717947,999,17.30715693,16.21971371,18.94612461,999,17.78242389,18.79334221,999,999,999,999,20.69148356,15.04651071,999,999,23.69254214,999
high-29,18.49319154,20.61335989,20.64843994,999,27.45051048,19.32915761,17.55275545,19.79092086,17.58029871,15.86037132,16.7895814,19.87669668,999,999,999,19.57266015,999,19.59429418,20.47525591,22.22203128,16.57685266,27.39595546,16.95237017,19.70487467,999,19.81531869,999,999,999,21.82092514,21.6489281,27.17717905,999,15.54593089,999,23.03082095,999,22.53453805,20.5132206,999,999,999,999,16.69887664,999,999,25.42973883,999
high-3,18.38939391,19.01314999,20.46077135,20.29316945,24.4686217,19.77574003,17.94884649,999,16.66195182,15.42117059,17.58224991,18.88804007,999,999,999,23.57410678,999,19.23499695,16.54663662,23.63348248,15.65061864,999,16.40782694,20.95667881,999,15.63773802,18.7785436,19.6483849,19.43691518,21.04138853,20.1250934,999,19.55218575,16.32596934,999,21.33131854,22.0332659,17.91281206,999,19.05796565,999,999,999,16.75473325,21.59259147,999,26.92321824,999
high-30,18.2854888,17.87511141,999,999,999,18.41121273,16.93705495,999,12.90438012,15.53834052,16.22271884,17.88363597,19.26179189,19.62704949,999,21.14863842,19.06641216,999,16.39119276,22.29301092,18.27572938,999,16.29480811,18.2096777,999,17.87723357,18.0399119,20.67883518,20.72990322,20.76006417,999,22.87880196,999,16.62929812,999,999,18.75467106,18.35803238,23.16495603,17.34646451,999,999,999,17.96376551,20.52743379,999,22.00275889,999
high-31,19.55431674,18.01957394,22.98045056,19.74750715,999,18.25576123,17.38307673,999,12.99417264,16.49981703,16.65050925,17.35538739,19.90336114,20.95179172,999,24.50462556,20.36278299,24.48843341,16.62725413,27.14453832,17.12782342,25.72216342,15.6969664,19.36872164,999,15.95070389,18.30867388,18.44451473,20.10854428,21.67167103,999,999,22.59009984,16.36437636,18.77622516,20.28175292,20.24058666,18.27997516,999,16.65350192,999,999,999,17.33419584,19.53862011,25.21692015,23.10602473,23.13650669
high-32,20.99358541,20.42525966,21.87073821,22.17880427,999,21.29710694,17.53746237,999,15.17318764,17.59885802,16.65926557,18.05011619,19.95682211,23.16718155,999,20.82337118,23.63353167,19.41028257,18.60830182,21.72245127,18.52152561,999,17.25594782,20.164868,999,17.27853051,18.40214414,21.19604166,20.56087145,21.7180348,999,999,24.23007147,16.55050334,21.37391927,21.68728432,22.49288153,20.59949618,999,18.81535295,999,999,999,17.67346905,23.12348139,27.7035004,24.84144878,26.75269081
high-4,22.45842997,23.82611462,23.27962688,999,999,999,17.66027126,999,18.51444534,999,16.93608277,999,999,999,999,25.13163292,999,999,19.88434162,21.27497562,999,999,16.72374724,20.36412423,999,16.65525044,999,999,999,20.8287528,999,999,999,17.00739708,999,27.71806032,999,22.75001709,999,999,26.51844543,999,999,26.92625208,999,999,23.51437099,999
high-5,17.72714865,17.57342138,20.85003354,999,27.83169351,19.19939316,17.98117696,999,17.23571223,15.31214594,16.61396196,18.92760742,999,27.75455986,999,18.63188125,999,19.94015492,19.79715358,22.79241256,17.36540873,999,15.99066267,19.21651589,22.06827154,17.69986853,20.75370905,18.03117741,20.39771176,21.45610051,18.01231475,999,18.59273978,16.04095617,19.60796538,20.91466252,19.38776339,19.075525,21.54127524,19.59295022,999,999,999,17.03244901,999,999,999,999
high-6,19.66432889,999,28.40062908,999,22.06715145,19.3984536,17.42098094,999,15.59802334,17.7202331,16.22897431,17.5305504,22.90458867,28.97629076,999,20.31411619,999,999,18.19331059,20.52736898,18.91912949,28.76155191,16.91786142,19.16748834,999,17.20830672,999,20.85845738,19.917394,21.88026315,18.42135683,22.3429835,999,16.32133273,999,21.07600528,999,23.08569264,999,999,999,20.7136885,999,17.48998037,999,999,21.70822981,999
high-7,20.62261767,999,999,26.19758611,999,999,17.59335512,999,15.29551955,17.16456061,16.92557459,18.14846342,27.96350017,999,999,20.45056798,999,999,17.99658885,20.48434739,19.15057351,999,16.36241826,19.86732441,999,18.01397555,17.81713088,999,999,20.23833397,19.81117289,999,999,16.74665376,999,20.43033393,20.58278828,999,24.9112759,17.87448908,999,25.49548386,999,19.9469191,999,999,22.46714807,999
high-8,19.3732244,19.15782158,999,24.82162606,999,999,18.81128448,999,17.06914822,17.88980109,16.9493715,999,999,20.67932968,999,19.51531961,999,20.57348281,21.1405278,21.81935405,18.62829504,999,17.14267877,20.02173027,24.8519745,17.94063212,21.29612657,999,20.60998139,21.15386045,20.69362674,999,21.64377317,17.28936776,999,999,999,19.29288094,999,21.03204535,27.41310914,999,999,18.67985716,21.48052195,999,27.14909314,999
high-9,18.85679111,23.97207468,999,22.60501057,24.64812366,19.66107302,17.47468748,999,13.141248,18.34159642,16.51540643,17.47542544,19.57914088,20.15125685,999,22.14023983,20.85675888,999,16.60622644,23.23491774,18.53056826,999,16.13435701,20.6613838,999,17.18632167,17.76280598,18.79674344,21.25454836,21.8799753,999,999,20.77768734,16.22754702,999,19.73001461,18.89641813,21.66934276,24.94951034,16.69978934,999,999,23.63996193,18.44026669,19.27679968,999,23.84826366,20.76931834
mid-1,999,21.69431102,999,27.07682347,999,22.80859126,18.87362574,999,15.43503475,20.64968114,17.20099931,19.22506029,999,999,21.19331871,22.33694744,999,999,18.45393037,20.63528497,25.11652072,999,17.56881142,20.88155354,999,17.32496375,999,999,23.35472013,21.17577623,20.6428672,999,999,16.69360245,999,20.49910948,25.81918657,21.72405149,999,22.39778304,999,999,21.20691791,999,999,999,26.37571612,999
mid-10,21.34898061,28.23580819,999,21.33232556,999,999,15.16065856,21.15102104,19.38455514,17.91821146,16.71025542,999,13.6241755,21.30150991,999,21.42976418,999,999,19.48399493,21.52730949,999,19.14809467,16.94864002,21.60427258,999,15.84594072,999,999,21.030555,20.25882437,999,19.34467388,999,16.60598446,999,20.84992858,19.73118348,21.95565458,999,26.52119632,999,18.26969458,999,18.46832834,20.02485259,999,26.06955043,999
mid-11,19.62835138,999,28.30758145,999,23.00367811,17.75929739,13.77459595,20.83903707,16.11007614,16.69061127,17.83062509,21.64938938,14.29120884,20.99356696,999,20.08849729,19.61331377,999,18.77319363,20.71054952,999,19.42302022,15.63977682,19.87581946,999,17.17449946,999,20.55609855,20.90018645,21.30961365,999,20.7347784,999,16.771834,999,20.12330528,999,18.93403272,999,20.98220392,999,19.62700092,19.93650288,19.35981222,999,24.72460429,24.63344598,999
mid-12,19.48326765,999,24.61436175,24.04274935,999,21.0697852,13.92574877,16.87274835,15.2684763,16.20683465,16.64910604,19.32044935,11.56346272,17.27688686,22.01465924,24.69425978,19.84722082,28.35048955,17.81111501,20.05598908,18.26762275,19.15847243,16.3713291,21.09718105,999,16.47653495,19.71120332,999,20.32672984,20.62014446,19.73718167,19.14591562,20.69982422,16.33280632,999,19.32837027,25.02439735,19.21594063,999,18.97846014,999,18.51403702,19.95281472,21.45780394,999,999,26.83762394,999
mid-13,19.37719255,999,28.14511507,24.14831293,999,19.54205805,13.78150245,17.58526101,15.92568233,15.40388796,17.20925727,18.1132829,12.28050134,18.16284985,999,21.03734254,20.87396107,999,19.54456464,19.3162362,19.62091758,999,16.74305795,19.32370105,999,18.49399441,20.86834588,20.35864921,999,19.99092408,21.50886197,18.40449796,999,16.28728913,999,20.8310521,22.21262225,18.19178972,20.62812746,999,999,17.93273897,19.36975066,18.78996594,21.38337039,999,999,24.80508491
mid-14,18.1645434,999,999,26.7964213,25.17472945,999,14.94570966,20.1403851,17.92691495,15.73210006,16.1540203,19.40864626,14.04720381,18.18860923,999,21.17074296,22.30363523,999,19.57293755,21.18867785,999,20.23124619,16.22211262,22.34446668,999,19.66933629,20.99551208,21.70619336,21.61619713,21.93217578,20.44429238,999,999,16.41696242,999,20.39236615,999,18.18196462,999,999,999,21.07749389,20.95884777,18.72778907,999,26.80613359,25.25515875,24.52498987
mid-15,18.60116779,999,26.81941921,27.41846274,23.14949941,20.87168025,16.13609618,17.73926989,15.66594506,15.46418138,17.07928154,20.65560535,11.60646721,18.17299394,999,999,20.13621711,999,19.4673891,22.06089079,25.35667484,18.28516922,15.73868488,21.59290307,999,16.46301895,999,999,21.35692363,20.33214048,999,19.93449554,999,16.7910727,27.1548419,999,999,17.75829881,999,999,999,19.30633285,999,19.61484473,999,999,999,999
mid-16,20.21456265,999,21.09512294,21.42649062,24.71528725,21.25202169,14.13700498,19.98634892,16.88924352,15.71586688,17.3984863,19.26351445,14.54213907,20.19731249,999,20.26062992,21.84502076,999,19.10276977,17.72356764,17.39638094,19.71894055,17.40319668,20.55863231,27.62068214,17.34207639,999,999,22.32035196,20.50770739,999,20.91545744,999,17.10659494,999,18.7677778,999,20.56872131,999,999,27.49452083,17.36909638,20.66937486,19.58760368,27.45395308,999,25.4450164,999
mid-17,20.65475956,25.68305295,22.05328058,27.0103313,999,21.32818112,16.0660941,20.85666191,17.67116581,15.82564198,16.71229945,20.57354743,13.06019594,18.60727859,999,21.92519746,21.53599587,999,20.40460319,18.72051376,999,21.24665168,17.30102586,20.82802766,999,999,21.13507975,999,23.41697568,20.99951017,20.94959159,20.20664124,999,16.84806735,999,18.30977411,999,18.65700069,999,22.71301608,999,19.11505644,999,19.142142,21.60654678,999,24.70888022,999
mid-18,17.90768943,25.13665585,22.29120734,26.14826796,999,20.24670722,13.17757572,19.58821336,16.66065542,16.37008266,16.80866712,18.51293824,13.8936377,20.40307613,19.91061798,20.18102238,19.4752488,999,14.9803,999,999,18.82166328,15.5502594,20.51751146,999,19.8476233,999,18.40244222,999,20.35301786,999,22.18844721,999,16.5636152,999,19.95702119,20.83446205,18.20030394,20.60203415,19.53281431,26.19037767,16.59585187,20.40555228,999,20.12723495,999,25.80675776,999
mid-19,21.08677483,22.00480256,28.05422902,26.3898388,999,26.28721663,18.05148758,999,16.13067968,17.30526443,16.78584593,999,999,21.56809488,999,20.03348547,26.26712811,999,18.17117083,20.35789084,19.54347345,999,17.69817684,21.19785182,999,18.59866538,999,999,20.70723722,19.98981477,999,999,999,16.58478343,20.72738212,20.66082255,25.57263974,18.30914432,999,20.7883638,999,999,999,19.64088654,21.38569726,999,25.53281566,19.71685872
mid-2,27.18895391,27.19616355,999,999,999,22.20518517,17.13933256,999,13.63159437,18.67345195,17.03067982,17.48058377,21.22473004,999,999,24.41500054,20.0008922,999,17.62397066,23.6024812,24.82213457,999,17.12898476,19.53587294,25.43431654,15.56949206,999,999,23.88220488,21.63731406,999,999,999,17.411048,999,21.20398147,28.38066746,20.55758083,999,19.74945407,999,999,999,20.61841517,999,999,28.34646145,27.41801339
mid-20,16.98382828,19.44811593,20.83199621,26.68646874,21.92947529,17.98310555,12.6843193,16.01226872,15.2344763,14.31877345,16.37808297,17.56587945,11.96605629,18.48140976,999,22.93304671,21.61478488,999,18.35848795,19.48859283,24.05138844,18.98279176,15.43018481,19.36574632,999,17.10439571,28.97033884,999,20.90932545,21.89866538,999,20.8010886,999,16.63188068,999,18.64231093,24.71526402,17.67338705,999,18.04417075,999,16.94245331,20.17960174,18.35696717,22.21355448,20.26400197,28.80328609,23.53160032
mid-21,23.21806362,25.65274571,23.89299151,999,24.79331512,23.52574269,17.90839773,999,20.6293551,17.27326031,16.61658476,999,999,999,999,20.8708765,999,999,19.30872045,999,20.33827475,999,17.8314549,20.73102421,20.68918395,20.11036246,999,20.88394007,20.55458454,22.51848543,999,999,999,16.52971119,999,28.87934196,999,22.42631794,999,20.62075993,999,999,999,18.53862956,999,999,27.14415841,999
mid-22,16.71193582,999,999,20.3681989,20.52854197,19.96927824,13.76638494,16.64652881,15.3967565,14.52749975,15.75208711,18.80756292,11.47346895,18.82345751,23.53272049,20.44090713,19.75755937,999,19.61286673,18.7514982,17.47537202,19.81068066,16.18946954,20.49179151,999,17.97951697,19.53609281,999,999,23.48074161,20.26221695,999,999,16.46694585,25.90534999,19.61772103,999,17.11959152,999,999,999,16.27827614,20.36249359,999,999,999,999,999
