,Activating Invasion and Metastasis,Enabling Replicative Immortality,Evading Growth Suppressors,Evading Immune Destruction,Genome Instability and Mutation,Inducing Angiogenesis,Reprogramming Energy Metabolism,Resisting Cell Death,Sustaining Proliferative Signaling,Tumor-Promoting Inflammation
c.COLO668,2.816596505,2.803045029,2.999301124,2.550212601,3.40099107,2.327552482,4.002020386,3.113105599,2.88599203,2.871126256
c.CORL24,3.113755596,3.125881092,3.372270883,2.332579053,3.247049481,2.489247935,4.069540151,3.07238183,3.149564493,2.850910297
c.CORL279,3.013220783,3.016233127,3.222121896,2.357655112,3.366684308,2.374578159,4.172441113,3.194103425,3.103624054,2.813946513
c.CORL311,2.682574751,2.721228357,2.976568846,2.223797884,3.201470522,2.059658855,4.029873133,2.89501011,2.793553151,2.60650106
c.CORL47,2.750170973,2.955743268,3.123135015,2.165257191,3.300441966,2.100191605,3.915718198,2.973801577,2.849060414,2.606677998
c.CORL88,2.651630069,2.875770434,3.025856721,2.203820974,3.24849214,2.157006977,3.878822578,2.928398071,2.787870082,2.608913662
c.CORL95,2.961525152,3.109142868,3.238482224,2.572959814,3.294389257,2.416678079,4.185912168,3.240071605,3.010138595,2.974975669
c.DMS114,2.820538836,3.220898273,3.142891559,2.168039697,3.416676292,2.313190037,4.047754989,3.112838023,2.959773814,2.655381816
c.DMS153,2.986210317,3.046505981,3.20452486,2.514962685,3.514642459,2.461833111,4.065873839,3.214854199,3.048016929,2.957443173
c.DMS273,2.786595066,2.987020668,3.051204693,2.198542937,3.357088287,2.240153881,4.045137789,3.060254815,2.91133912,2.593969214
c.DMS454,2.769626408,2.858384888,2.964990578,2.60451428,3.474833159,2.30650619,4.162815973,3.173315504,2.910807471,2.815784706
c.DMS53,3.036225808,3.082711143,3.158256391,2.558031994,3.654120507,2.485061031,4.254961482,3.332198714,3.05477902,3.068351743
c.DMS79,3.017458576,2.930672048,3.367534559,2.364750149,3.549198552,2.405531244,4.034546351,3.157078356,3.076178385,2.891715287
c.HCC33,2.653457384,2.94122587,3.03841515,1.963445655,3.108377474,1.998048755,3.873062808,2.797544915,2.753471491,2.42350293
c.NCIH1048,2.957852181,3.118655975,3.314717331,2.284110484,3.54101272,2.457208818,4.086476008,3.214165148,3.069233658,2.726364884
c.NCIH1092,2.718003391,2.834288506,2.976389583,2.052197368,3.166037318,2.037722064,3.845240028,2.832609114,2.789605706,2.469113491
c.NCIH1105,2.688052936,2.815864142,3.047678585,2.101163182,3.300803702,2.041789818,3.86944451,2.868833949,2.828951169,2.493901902
c.NCIH1184,2.722853486,2.944726057,3.056428522,1.986853469,3.207237882,1.977173543,3.745534139,2.851498235,2.839191912,2.453214226
c.NCIH1339,2.90188357,2.918834212,3.233364296,2.796840061,3.638025398,2.926251134,4.064649674,3.473717022,3.071703408,3.072254171
c.NCIH1341,2.967935811,3.028604974,3.285872443,2.251769918,3.740797442,2.473755113,4.198631317,3.239832653,3.070086727,2.683371534
c.NCIH1436,2.733952491,2.936347964,3.048928077,2.070364325,3.380703073,2.079457826,3.869072472,2.914633619,2.850631944,2.558059675
c.NCIH146,2.826765197,3.028400998,3.068713866,2.326198839,3.470937589,2.166930791,3.945921474,3.02305688,2.868074734,2.75709967
c.NCIH1618,2.753805253,2.9723587,3.061310363,2.102857165,3.226454803,2.114975701,3.897442114,2.931525324,2.881934099,2.598905151
c.NCIH1694,2.759103469,2.9329654,3.073335751,2.097551767,3.121619001,2.082082955,3.923835834,2.898753038,2.883353065,2.534565791
c.NCIH1836,2.57288132,2.810183028,2.891684162,2.014243543,3.107525693,2.091347951,3.778980809,2.855744872,2.701045799,2.462012225
c.NCIH1876,2.8401256,3.112089325,3.182490466,2.168387885,3.268959803,2.215615718,3.865919966,3.021470505,2.950803128,2.632629408
c.NCIH1930,2.812603871,3.057867439,3.117019532,2.149330096,3.2219653,2.165639733,3.95154987,2.992965301,2.899488331,2.56438096
c.NCIH196,3.122290231,3.22603169,3.47349295,2.54990708,3.545536725,2.899760232,4.229502414,3.449702203,3.301445392,2.954750629
c.NCIH1963,2.666980046,2.848063597,2.973243608,2.000813157,3.130475933,1.968188637,3.769040854,2.869817567,2.777341421,2.511149592
c.NCIH2029,2.700804663,2.93122437,2.864643502,2.257645148,3.068066023,2.206909847,3.889248145,2.965867485,2.796669187,2.644107966
c.NCIH2066,2.697755478,3.017382855,3.051986294,2.295584315,3.37748096,2.211445268,4.040272848,3.041874438,2.888014467,2.525368105
c.NCIH2081,2.838443923,2.969909783,3.080800796,2.233506303,3.427215112,2.240908938,3.922811005,2.990285393,2.868669202,2.668635218
c.NCIH209,2.55051425,2.764235588,2.802924965,2.042808683,3.103384611,1.892555853,3.768952341,2.742831278,2.619350081,2.484888367
c.NCIH211,2.562870594,2.884329139,2.935457,2.090698203,3.477513284,2.260966194,3.888438065,2.947953322,2.737031222,2.5501404
c.NCIH2171,2.772501149,2.860742043,3.016758807,2.119104266,3.287729649,2.111651345,3.93825779,2.949605911,2.845305886,2.571742302
c.NCIH2196,3.034357166,2.975862128,3.185984682,2.436968013,3.447404758,2.480104978,4.041838215,3.243350976,3.081586461,2.897037049
c.NCIH2227,2.832060614,2.952111718,3.004347907,2.170781764,3.143213174,1.993695616,3.869556519,2.857624159,2.901656487,2.655474104
c.NCIH2286,2.982252734,3.11390647,3.2800638,2.604789163,3.38002871,2.779906496,4.030905876,3.360679217,3.087808981,3.010205699
c.NCIH446,2.763651173,2.921218342,3.098473419,2.034572382,3.361133491,2.136913465,4.014318213,2.972792068,2.913091852,2.489955964
c.NCIH510,2.868615668,2.985557494,3.084559132,2.371905046,3.50599046,2.405998854,4.039055828,3.127439921,2.955065472,2.786052296
c.NCIH524,2.723100867,2.924114326,3.001529769,2.105991071,3.262459834,2.108492376,3.904556783,2.893231463,2.797744293,2.558651147
c.NCIH526,2.803681261,2.825041097,3.075490273,2.330925403,3.521364753,2.276864507,3.986585465,2.994520477,2.890819451,2.728266774
c.NCIH69,2.896343581,3.126628857,3.206772787,2.199773337,3.459913594,2.286562871,3.884834687,3.077498967,2.982563437,2.627083079
c.NCIH82,2.52834499,2.783208037,2.873515425,1.973343228,3.3735869,1.952921889,3.839683139,2.792886116,2.652424878,2.416986078
c.NCIH841,2.800093614,3.029498905,3.106676255,2.261567388,3.424218981,2.321625276,3.956921125,3.091648592,2.93597691,2.661958997
c.NCIH889,2.756480976,2.861130462,3.082531695,2.118288801,3.561848233,2.15746371,3.860217735,2.936423768,2.798063974,2.537320709
c.SBC5,2.773784965,3.024661288,3.012177593,2.239002623,3.274751253,2.255723421,3.903280611,3.10589497,2.837439865,2.717090638
c.SCLC21H,2.889630075,2.913351111,3.132898216,2.148585243,3.235885709,2.252813789,3.964047739,3.031456245,2.976609679,2.643906321
c.SHP77,2.709862326,2.941978791,3.035603278,2.434864313,3.417535861,2.198369629,4.126483245,3.088510004,2.784543493,2.667378988
c.SW1271,2.847395302,2.939494674,3.197911589,2.416084223,3.477665531,2.579711221,3.961226755,3.260627629,2.988932978,2.837660413
m.DMS153,2.878368553,2.977149866,3.116771404,2.401170907,3.374468868,2.327632013,3.956187351,3.088471142,2.933067309,2.829392982
m.HCC2433,2.832333424,2.929083994,3.1723443,2.146522151,3.337637985,2.123177578,3.888160311,2.955544515,2.924661975,2.590616466
m.HCC33,2.490817709,2.805316493,2.852493259,1.881691432,2.953767961,1.870736102,3.645757776,2.685574832,2.604907788,2.302760695
m.HCC4000,2.680332858,2.851260933,2.998409857,2.091327409,3.24687364,2.149938605,3.82973106,2.915359932,2.772729342,2.531598179
m.HCC4001,2.65950183,2.851072663,2.983338141,1.976571342,3.129976404,2.000558433,3.859101465,2.776405911,2.734545431,2.402382656
m.HCC4002,2.982937605,3.139654607,3.333907802,2.254371961,3.306350183,2.36437599,3.941721911,3.050103767,3.05724664,2.732820214
m.HCC4003,2.701395054,2.907411654,2.96324257,2.17257474,3.174133052,2.193576033,3.905172766,2.936451662,2.82472848,2.60654769
m.HCC4004,2.940668032,3.077908542,3.288731747,2.279788376,3.199158926,2.351607657,3.995583876,3.04111403,3.02512331,2.762974698
m.HCC4005,2.783986612,2.83018944,2.997330914,2.130481455,3.21587778,2.080618712,3.964749883,2.912783044,2.860311732,2.612046038
m.HCC970,2.877743503,2.869404436,3.210455114,2.186110551,3.41984477,2.159688756,4.077607948,2.959331478,2.969057242,2.645441489
m.NCIH1048,2.878735964,3.028766541,3.225440281,2.245229093,3.506039675,2.358073017,4.006926213,3.125210483,2.996761871,2.677587755
m.NCIH1092,2.73636401,2.884864743,3.014066968,2.052361436,3.071059731,2.085680765,3.893169953,2.862792303,2.806528561,2.48304748
m.NCIH1184,3.062379811,3.187519117,3.40565965,2.250458005,3.24969993,2.363354508,4.000268608,3.133629693,3.169097507,2.80175688
m.NCIH1238,2.779195647,2.791605056,2.931116224,2.390380378,3.376176525,2.271675491,3.889662271,3.072652001,2.809212915,2.792486076
m.NCIH128,2.700776818,2.862771468,3.079359214,2.063271216,3.243668798,2.103278422,3.81589241,2.860368411,2.780751838,2.497201213
m.NCIH1339,2.769957336,2.901663267,3.084743091,2.303064755,3.479224091,2.234523929,3.932654284,3.007631566,2.883300142,2.727545192
m.NCIH1417,2.652985341,2.863624965,3.008158722,2.089400956,3.20883524,2.062823512,3.812597197,2.858429276,2.769673014,2.530714595
m.NCIH1436,2.669118032,2.887693769,2.966991214,2.055869752,3.369243142,2.02925012,3.829046793,2.880969791,2.759722411,2.545940266
m.NCIH1450,2.686773661,2.858855151,3.061086659,2.300329383,3.612863867,2.246587302,4.144278449,3.124728238,2.923723666,2.681905842
m.NCIH146,2.890808983,3.095884549,3.15345749,2.329337218,3.449324873,2.277215909,4.057613196,3.062592226,2.942391066,2.790002721
m.NCIH1514,2.713769371,2.859209473,2.971508201,2.111233724,3.382872887,2.157128019,3.769105208,2.925542824,2.831838208,2.601022895
m.NCIH1522,2.537818006,2.753506512,2.858222349,2.012582512,3.140993515,1.968457657,3.704739056,2.80154699,2.682620562,2.433823579
m.NCIH1607,2.963750514,3.170560198,3.351689492,2.401779539,3.724883561,2.5632555,4.139626539,3.276323738,3.125476119,2.873534257
m.NCIH1628,2.900421248,2.982522946,3.089666644,2.224592022,3.201697288,2.297477943,3.998870235,3.140659643,2.967572105,2.755042713
m.NCIH1672,2.702731148,2.868978933,3.083305316,2.101755883,3.279155816,2.077312849,3.670879141,2.88381562,2.798326637,2.558676704
m.NCIH1688,2.942421743,3.027528009,3.094111274,2.613265916,3.435003316,2.380050444,4.270309388,3.292293689,3.042288757,2.939196736
m.NCIH1694,2.726477822,2.843927335,2.969289221,2.121975946,3.171107321,2.104803768,3.93113813,2.939242039,2.864481815,2.557072887
m.NCIH1836,2.56016022,2.782775971,2.913950214,2.059291153,3.180895236,1.997409003,3.805736385,2.813937373,2.69839124,2.46980435
m.NCIH187,2.670264339,2.74706088,2.920206899,2.133616735,3.274108598,2.080429261,3.89547252,2.912996578,2.74975481,2.588581339
m.NCIH1870,2.736097903,3.011540132,3.07139637,2.126540352,3.271468319,2.104790625,3.911222678,2.914907494,2.856374295,2.563839281
m.NCIH1876,2.548359189,2.841745486,2.904509114,2.011827931,3.124707887,1.970965452,3.732283735,2.755337456,2.661476378,2.427048192
m.NCIH1882,2.74806857,2.948786398,3.049204258,2.213610182,3.292252784,2.211977977,3.786525642,2.987091347,2.852187795,2.641435389
m.NCIH1926,2.580414406,2.842749578,2.913134872,2.007034172,3.071484335,1.963729188,3.770096066,2.79678484,2.702072097,2.425340761
m.NCIH1930,2.972296824,3.100011107,3.192816918,2.304849452,3.214509291,2.270039012,3.945366303,3.11902737,3.017388891,2.772788521
m.NCIH1963,2.480962132,2.684901609,2.817388348,1.907692487,3.069855423,1.827383361,3.662438522,2.756082232,2.622526809,2.375963448
m.NCIH1994,2.688817776,2.858166966,2.887172498,2.227468511,3.194751807,2.219108109,3.856654841,2.934310097,2.758661533,2.621736572
m.NCIH2029,2.757097747,2.983209581,3.007437871,2.206696229,3.087863739,2.193377182,3.98664209,2.937437166,2.860592025,2.603929494
m.NCIH2081,2.855699297,3.050321989,3.169378225,2.234832093,3.411049253,2.20515744,4.05839803,3.049889948,2.928753938,2.68141222
m.NCIH209,2.597003711,2.727127162,2.828301355,2.111315314,3.186445832,2.012312579,3.764191907,2.784613892,2.688251367,2.578890133
m.NCIH2107,2.739446447,2.882120544,3.071574493,2.096555306,3.235486047,2.13906333,3.85118796,2.907148368,2.838233604,2.525057792
m.NCIH2108,2.778411591,2.918298695,3.156312047,2.128632414,3.301648563,2.149777584,3.770990846,2.928020758,2.877725356,2.587315947
m.NCIH211,2.825813653,3.090623945,3.140384061,2.307287615,3.613399234,2.466064525,4.047524184,3.126011893,2.962796163,2.773137802
m.NCIH2141,2.727667832,2.937188076,3.061157424,2.09505744,3.346647762,2.224962531,3.831277033,2.98498131,2.86776368,2.576971663
m.NCIH2171,2.691758607,2.855153664,2.994752548,2.105823328,3.334309219,2.081919161,3.96453465,2.934447606,2.816773245,2.532051533
m.NCIH2195,3.154023167,3.162766309,3.389414059,2.50748261,3.464228709,2.619220014,4.080333287,3.309480525,3.183052742,2.975352909
m.NCIH2196,3.000699673,3.030606851,3.203329081,2.435116562,3.419942413,2.407508614,3.978175205,3.208376357,3.066210764,2.870188999
m.NCIH2198,3.122890371,3.008849577,3.289421853,2.564721616,3.504945522,2.523937623,4.093532655,3.306284369,3.149249563,3.015628338
m.NCIH2227,2.8413351,2.923638072,3.036063821,2.174859931,3.125684664,2.026005272,3.848770904,2.857784112,2.907671411,2.677495646
m.NCIH250,2.804101674,2.98613189,3.074254285,2.264954035,3.314139869,2.228161865,3.9604143,2.961166298,2.908631828,2.651641786
m.NCIH2679,2.867524051,3.053650039,3.164432723,2.323290737,3.374774157,2.3123309,4.240281323,3.064636698,2.967249649,2.743123993
m.NCIH3282,3.035294707,3.080654213,3.322056861,2.344536161,3.49335426,2.326370652,3.942106,3.064320487,3.065161771,2.833775815
m.NCIH345,2.840177063,2.845531528,3.118652709,2.138560318,3.254554852,2.19516588,3.932194328,2.970106088,2.922682016,2.598140596
m.NCIH378,2.846838178,2.85014926,3.119107901,2.144063375,3.182319539,2.133427238,3.962571555,3.018235592,2.949036242,2.580591286
m.NCIH446,2.704089424,2.922754308,3.074991045,1.971588144,3.254156557,2.070094709,3.866513763,2.896905955,2.855210256,2.47377139
m.NCIH510,2.783366894,2.915240404,3.011743293,2.259890056,3.463346754,2.259233848,3.978744016,3.020712009,2.87995177,2.695838171
m.NCIH524,2.777025629,3.010182148,3.056247065,2.139749687,3.311338065,2.165833241,4.07393209,2.945087546,2.873532715,2.59024227
m.NCIH526,2.754015383,2.709407426,2.986248878,2.227230289,3.374290865,2.164996707,3.937230807,2.921170716,2.848616068,2.618873938
m.NCIH60,2.666970086,2.879515075,2.965327102,1.88921781,3.420370953,2.007165202,4.026215713,2.892812139,2.801331728,2.3442173
m.NCIH69,2.892209436,3.17810453,3.225739329,2.138348446,3.325060781,2.271009014,3.819985635,2.997912231,2.945435586,2.607410311
m.NCIH711,2.611737222,2.765631813,2.949572185,2.09183774,3.079347988,1.939426877,3.711125231,2.791617153,2.727337323,2.489992843
m.NCIH735,2.818411379,3.039394669,3.099162714,2.335717623,3.369164984,2.340179389,4.041932108,3.115611497,2.944159028,2.694665629
m.NCIH738,2.515191564,2.706080532,2.783441444,1.931198443,3.0171657,1.975672067,3.695318211,2.77418339,2.668372412,2.389163139
m.NCIH740,2.802830991,2.93873082,3.119231292,2.227412725,3.318199698,2.155146212,3.781151658,2.947353696,2.856829218,2.64365362
m.NCIH748,2.737900698,2.903829472,3.126251465,2.156156094,3.137820373,2.119389221,3.928141091,2.954702526,2.823565939,2.593680638
m.NCIH774,2.935125453,3.038648798,3.103331774,2.488450552,3.451417755,2.334971542,3.93156648,3.162098738,3.015776564,2.906543232
m.NCIH82,2.79113982,2.999247647,3.123662203,2.233055624,3.450303368,2.325576158,4.022999665,3.03043798,2.923985631,2.657175685
m.NCIH841,2.848228852,3.100288148,3.212151712,2.363216493,3.526333841,2.315627468,4.157746042,3.111083404,3.010733994,2.752227505
m.NCIH865,2.87775695,3.004707247,3.062410086,2.327711362,3.208465874,2.237384491,3.992109376,3.03414554,2.900245475,2.755249354
m.NCIH889,2.789752383,2.872994135,3.023826909,2.123204444,3.395712148,2.130656025,3.924191243,2.971713268,2.850882063,2.572057417
m.SHP77,2.915609409,3.042561924,3.202228778,2.57826296,3.414570336,2.420348123,4.303024578,3.26146124,3.0125287,2.813942415